Qual a sua idade?;"Sexo (1 - F, 2 - M) ";Renda mensal aproximada;Qual o seu meio principal para obter informações e conhecimentos?;Qual forma de diversão/entretenimento você utiliza com mais frequência;Você prefere possuir (ex: carro, casa)  ou apenas ter acesso (ex: aluguel, assinaturas) ?;Você prefere fazer compras em lojas físicas ou virtuais (internet) ;Quanto tempo médio você passa por dia em redes sociais (em horas) ?;Qual é o seu meio de pagamento preferido;Com que frequência você realiza compras online?;Você já comprou algo diretamente por recomendação de influenciadores ou anúncios de redes sociais?;Qual dispositivo que você mais utiliza para compras online;Valor médio aproximado gasto com compras online por mês;Facilidade de navegação influencia minha decisão de compra;Costumo comparar preços em diferentes plataformas antes de compras;Estou satisfeito com as minhas experiências nas compras online;Sinto segurança com as informações pessoais que coloco nas compras online;A sustentabilidade influencia nas minhas escolhas de consumo (produtos e serviços);Qual critério de compra online é mais importante para você?
23;2;4;4;3;2;2;1;3;4;1;2;300;5;4;4;4;3;4
54;2;4;5;3;5;1;2;3;4;1;2;50;4;5;4;4;4;1
28;1;3;6;5;2;2;3;3;4;1;2;1000;2;5;5;3;3;4
28;1;3;5;3;2;2;6;3;4;1;2;300;5;5;5;4;3;3
25;1;2;4;5;2;1;4;4;3;1;2;150;5;5;4;4;4;2
18;1;1;4;5;2;1;4;4;4;1;2;500;5;5;3;1;4;1
45;1;3;4;6;2;1;4;2;4;2;2;300;2;4;4;4;3;2
47;1;4;5;3;2;2;4;4;4;1;2;500;5;4;4;2;4;2
18;1;1;5;5;1;1;8;4;4;1;2;400;5;5;4;3;1;2
51;1;3;2;3;2;2;2;2;4;1;2;500;5;5;4;5;4;3
51;1;3;4;3;2;1;2;3;3;1;2;100;4;4;4;4;4;1
43;1;4;4;3;4;1;5;3;4;1;2;300;5;4;4;5;4;2
41;1;4;4;3;1;1;3;3;5;1;2;15000;4;5;4;3;2;2
55;1;4;4;6;1;1;2;4;3;1;2;250;4;4;4;2;5;7
19;1;4;5;5;2;1;8;4;3;1;2;50;5;5;4;2;3;2
18;1;4;5;3;1;2;3;2;4;1;2;300;4;5;5;2;3;3
19;1;1;5;5;2;1;5;3;4;1;1;100;5;5;4;1;1;1
42;2;4;4;6;1;1;2;2;3;1;2;100;2;2;4;3;3;2
27;1;2;4;5;4;1;3;2;3;1;2;100;4;5;4;3;4;2
39;1;4;2;3;1;2;1;2;5;1;2;200;5;5;5;2;2;1
29;2;3;6;4;2;2;1;3;4;1;2;200;4;5;5;5;1;1
18;2;4;4;5;2;1;2;2;3;2;2;200;4;4;5;3;2;2
18;2;1;4;3;2;2;3;2;4;2;2;200;5;5;4;4;5;2
18;2;1;5;4;2;2;4;2;3;1;2;100;4;3;4;2;4;1
57;2;4;4;1;2;1;1;2;4;2;2;2000;4;5;2;2;3;1
55;2;4;4;6;2;1;1;2;4;2;1;2000;5;5;4;2;1;1
56;2;4;5;5;2;1;5;2;4;1;2;100;4;5;2;1;2;3
50;1;4;5;3;1;1;1;2;4;1;2;200;4;2;4;2;1;1
57;2;4;1;1;1;1;3;1;4;2;1;1000;4;3;3;2;5;9
57;2;3;4;3;1;1;1;2;2;1;2;50;4;5;2;2;3;2
56;1;3;4;3;2;1;2;2;4;2;1;1200;4;5;4;4;5;9
58;1;2;4;1;1;1;2;2;4;2;2;1200;5;4;5;4;4;2
57;2;4;4;3;3;1;2;3;5;2;1;1000;4;4;4;2;4;3
46;1;4;5;6;1;1;2;2;3;2;2;100;5;3;3;3;3;1
